Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Age,Gender,Date_Time,Date,Time,Location,WeekDay,No_Items_Added_InCart,No_Items_Removed_FromCart,No_Checkout_Initiated,cart_abandoned,Traffic Category,Order_Amount
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,1,1,Western Region,1,Returning_Visitor,False,False,82,F,2023-05-06 13:54:58.568602000,2023-05-06,13:54:58.568602,Rajasthan,Tuesday,1.0,0.0,1,1,Direct Search,0
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,5,2,2,North-Eastern Region,2,Returning_Visitor,False,False,72,M,2023-05-06 14:37:36.440286645,2023-05-06,14:37:36.440286,Nagaland,Monday,0.0,0.0,2,1,Organic Search,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,4,1,Central Region,3,Returning_Visitor,False,False,29,T,2023-05-06 15:20:14.311971291,2023-05-06,15:20:14.311971,Chhattisgarh,Thursday,5.0,0.0,2,1,Amazon Email Promotions,0
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,5,3,2,Eastern Region,4,Returning_Visitor,False,False,42,M,2023-05-06 16:02:52.183655937,2023-05-06,16:02:52.183655,Sikkim,Tuesday,0.0,0.0,1,1,Amazon Homepage Recommendations,0
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,5,3,3,Southern Region,4,Returning_Visitor,True,False,70,M,2023-05-06 16:45:30.055340583,2023-05-06,16:45:30.055340,Karnataka,Sunday,14.0,12.0,2,1,Amazon Homepage Recommendations,0
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,5,2,2,North-Eastern Region,3,Returning_Visitor,False,False,21,T,2023-05-06 17:28:07.927025229,2023-05-06,17:28:07.927025,Tripura,Wednesday,6.0,0.0,2,1,Amazon Email Promotions,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,5,2,4,Union Territories,3,Returning_Visitor,False,False,40,T,2023-05-06 18:10:45.798709875,2023-05-06,18:10:45.798709,Chandigarh,Monday,4.0,1.0,2,1,Amazon Email Promotions,0
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,5,1,2,Southern Region,5,Returning_Visitor,True,False,62,F,2023-05-06 18:53:23.670394521,2023-05-06,18:53:23.670394,Andhra Pradesh,Saturday,1.0,0.0,2,1,Amazon Sponsored Products,0
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,5,2,2,Southern Region,3,Returning_Visitor,False,False,70,T,2023-05-06 19:36:01.542079167,2023-05-06,19:36:01.542079,Puducherry,Thursday,8.0,1.0,2,1,Amazon Email Promotions,0
0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,5,2,4,Union Territories,2,Returning_Visitor,False,False,71,T,2023-05-06 20:18:39.413763813,2023-05-06,20:18:39.413763,Ladakh,Monday,4.0,1.0,1,1,Organic Search,0
